week,statements,event,year
26-Mar,15,"Covenant school shooting, statements against gay marriage",2023
16-Apr,15,MOC named Jesus,2023
22-Oct,16,Mike Johnson becomes Speaker,2023
5-Nov,20,Veterans' Day,2023
