week,statements,event
19-Feb,19,Ukraine invasion
26-Mar,24,MOC named Jesus
4-Jun,19,Gun control vote
18-Jun,25,Roe v. Wade overturned
10-Sep,22,9/11 Anniversary
17-Dec,19,Christmas
