week,statements,event,year
15-Jan,18,"March for Life, synagogue attack",2022
19-Feb,19,Ukraine invasion,2022
26-Mar,24,MOC named Jesus,2022
4-Jun,19,Gun control vote,2022
18-Jun,25,Roe v. Wade overturned,2022
10-Sep,22,9/11 Anniversary,2022
17-Dec,19,Christmas,2022
